ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
25,200000,1,2,2,79,-1,-1,-1,-1,-1,0,283147,165391,335163,380937,188864,18334,3854,33435,45197,12390,45937,2143,0
26,150000,2,4,1,61,3,2,4,-1,0,2,208258,379104,9944,100159,307514,261020,52237,51840,43645,20556,32871,14127,1
27,80000,1,3,2,50,-1,2,0,4,0,4,181233,254469,251224,312116,288696,320541,22202,42573,10839,13433,29157,35862,0
28,300000,2,3,1,51,-1,3,8,-1,4,-1,353683,163552,340416,58602,164550,227990,11534,56810,29561,40010,36342,57440,0
29,100000,2,2,2,79,-1,-1,5,0,-1,-1,303153,312939,148552,955,22275,399253,33731,49797,18350,50014,40928,52680,0
30,80000,1,3,1,56,0,-1,-1,0,0,4,46923,95820,169772,170451,189412,327390,56578,11129,50733,47307,13370,31730,0
31,80000,2,4,2,31,7,-1,4,0,2,5,108019,265138,304179,39556,299811,202339,35387,31726,39986,57333,735,26260,0
32,30000,2,3,2,53,-1,1,0,-1,0,-1,173535,207319,135756,244718,395646,73703,47213,22089,9649,46679,44461,18032,1
33,10000,2,3,1,23,0,-1,-1,-1,-1,5,355794,55880,158633,246159,346279,78621,44659,46639,6417,57101,19392,11932,0
34,100000,1,2,3,63,4,-1,7,-1,3,-1,72321,220328,359253,323821,258824,282130,49132,40626,36674,16432,48368,59160,0
35,300000,1,1,1,62,0,-1,-1,3,-1,0,392188,202777,293752,288319,325536,73390,43765,12775,11740,19714,53821,36149,0
36,10000,2,4,1,48,-1,0,3,-1,7,2,238061,367162,48162,311772,20961,237861,32676,31536,25978,31847,18442,17699,0
37,300000,1,1,2,67,4,0,-1,0,0,8,65594,380519,164741,88906,276137,118682,35402,49184,38678,14600,53872,40844,0
38,300000,1,2,1,25,0,0,0,-1,0,0,388860,66064,56952,326693,250820,162152,50095,18204,15332,9257,23095,2937,0
39,30000,2,2,2,26,6,1,0,-1,1,0,316665,36282,54105,221618,267782,154344,36615,9955,43095,5146,39006,36472,1
40,150000,1,3,1,24,-1,-1,-1,0,0,-1,120347,279858,287676,207616,202001,301424,54057,50230,25650,17847,33055,32953,0
41,20000,2,3,2,51,4,0,-1,-1,6,1,285337,220061,200704,163164,155313,189644,48322,23507,38570,11727,14890,24291,1
42,200000,2,3,2,22,5,-1,0,0,-1,-1,377804,178158,26704,36899,58483,160626,26735,12510,55255,25644,27857,41970,0
43,200000,1,1,2,35,1,0,0,0,-1,-1,166618,305535,14035,305832,395189,110568,34185,18651,7459,4459,17964,22623,1
44,50000,2,2,1,77,1,5,5,1,0,1,244490,81965,190797,11062,47461,192771,12000,16442,19998,21015,53706,54012,1
45,10000,2,1,1,32,4,0,1,4,-1,0,147286,22465,14872,52667,264573,-4308,42871,26944,53037,30076,15539,34654,1
46,500000,2,4,2,77,0,-1,-1,-1,0,-1,94247,180649,313623,295519,282385,48238,17587,31675,21735,9754,42860,58556,0
47,80000,1,2,1,67,3,-1,-1,1,-1,-1,135071,215842,333616,202770,295166,356568,27335,40469,32973,8176,44004,14409,0
48,300000,2,4,2,43,1,1,2,-1,0,5,196052,10969,133410,306849,25232,188194,5095,10450,2720,6817,26215,49848,1
49,150000,2,2,2,64,-1,3,7,3,1,6,325750,295280,336085,366736,213401,343790,30600,40846,48192,57399,14675,2295,0
50,200000,2,3,3,60,-1,0,0,-1,-1,0,269502,315138,64028,272317,262157,264014,46420,52167,55296,19635,8375,14188,0
51,200000,1,3,1,57,1,0,-1,-1,6,0,108551,270274,58907,381774,146819,275390,52278,58051,11570,46531,10754,5276,0
52,20000,2,3,2,24,0,4,1,-1,6,0,148132,367956,339982,178562,147682,173325,16301,5567,17524,28347,57577,20888,1
53,50000,1,3,2,24,2,-1,-1,0,-1,0,287972,143880,173581,151369,103246,110299,34769,6005,41359,56773,58292,26762,1
54,80000,1,3,3,62,0,-1,1,5,-1,3,344853,183745,226960,186060,212159,79670,54892,58896,4837,35916,41935,56790,0
55,80000,2,3,2,43,-1,-1,-1,8,-1,-1,102564,270100,13173,184312,276588,110151,3197,11768,55383,42949,21672,26827,0
56,10000,1,2,1,47,0,4,6,-1,0,0,-8937,206653,338687,256944,172124,94846,38684,40615,35888,27500,22895,20093,0
57,100000,1,4,3,59,0,-1,-1,-1,-1,0,198304,128215,357659,363420,330119,-5597,35530,3056,32193,21052,4611,42786,0
58,20000,2,3,1,50,0,2,0,-1,-1,-1,49693,291886,352639,231488,316433,388914,1157,30092,10855,41188,11973,42187,1
59,200000,1,2,1,42,-1,0,0,0,-1,-1,390596,151939,258965,300750,320081,230570,41633,46163,37108,3691,32016,20829,0
60,150000,2,2,2,26,-1,-1,2,0,2,-1,345934,359229,294306,224001,47640,273518,55031,22522,26155,7082,30986,25959,0
61,500000,1,2,2,78,-1,3,-1,2,0,-1,386330,55466,373880,264215,349146,272473,58062,57327,22756,20118,24661,57174,0
62,200000,2,3,1,44,1,0,0,-1,8,0,323261,229570,361158,357640,394693,260132,15155,5371,3641,4901,6496,11294,0
63,50000,2,3,1,68,0,0,-1,5,-1,4,328391,135591,342316,123990,105403,346756,24091,28506,30554,33478,6455,27647,0
64,500000,1,2,2,31,0,0,-1,0,-1,-1,17614,29882,181445,190159,280687,100457,17739,5175,30077,55467,16046,16998,0
65,80000,2,3,2,40,0,0,0,-1,0,0,295082,92882,153654,42567,268913,53311,57248,45229,19840,3966,17154,7584,0
66,50000,1,1,2,21,1,3,-1,-1,0,0,333768,134405,79212,78601,265101,331561,1174,13673,27464,56408,23015,49642,1
67,500000,2,2,2,24,3,0,-1,4,8,0,331993,75042,381513,118220,78366,219753,42398,27152,51827,827,52257,15861,1
68,50000,1,3,3,45,0,2,-1,0,0,-1,194614,50965,336358,344177,77158,179348,5917,54835,26312,47485,33345,47874,0
69,10000,2,2,1,40,5,0,-1,6,-1,-1,315512,46482,62039,243836,170033,264242,30844,55648,30596,558,43248,46362,1
70,80000,2,2,1,27,-1,5,4,6,1,0,281110,238207,115700,366481,218927,75912,57991,27486,23856,42307,25340,57305,0
71,200000,1,1,3,34,1,4,1,2,0,-1,111154,-5145,196671,105979,302879,115967,51754,26405,49217,13683,28016,50993,0
72,20000,1,1,2,31,5,-1,-1,-1,1,-1,166572,325466,216798,20264,55971,132065,14757,53662,24718,10958,47159,59802,0
73,80000,2,2,1,65,6,1,5,1,5,3,10831,232329,70699,289734,111091,193914,3756,36298,19578,24889,34394,10967,0
74,20000,2,2,1,39,-1,-1,0,2,3,0,316301,231135,13265,163900,325506,251633,45887,3812,29027,51873,55536,32252,0
75,150000,2,2,3,40,0,0,1,4,1,-1,260065,268287,353734,49728,235049,166195,16233,26326,44083,5001,14757,7584,0
76,80000,1,4,2,47,-1,0,0,-1,7,-1,312055,-8167,50927,105656,214709,228914,44702,53860,7651,35689,28843,11694,0
77,50000,2,1,2,31,-1,0,6,0,1,-1,119831,155017,301270,224653,197645,64669,7392,12451,41652,27715,12572,37702,0
78,30000,1,3,2,35,0,-1,0,0,0,-1,313962,137594,377512,363897,59234,85252,22346,23088,12134,18215,24900,7058,0
79,100000,2,3,2,33,7,-1,-1,1,-1,0,275171,330938,351170,95910,280030,302226,53261,55102,9286,38747,1569,41515,0
80,150000,2,2,2,77,3,-1,1,0,1,0,133341,170698,302211,229649,214320,191998,7887,18101,31926,36648,38054,1502,0
81,500000,2,2,2,57,0,5,1,-1,0,0,299172,133464,1224,135907,222355,346999,40966,31727,6297,41661,20294,39763,0
82,80000,1,2,2,75,-1,4,-1,-1,-1,0,177843,246563,339252,370852,160512,267299,56589,22771,22625,47700,36319,38258,0
83,20000,1,3,2,71,0,3,-1,4,-1,-1,290790,48789,4825,23009,145928,129076,15707,2681,34681,35911,15848,46344,0
84,300000,2,3,2,35,-1,-1,3,-1,1,-1,3252,39030,334830,69391,185751,183245,18024,12788,1926,9236,58862,47198,0
85,150000,1,2,2,23,1,1,-1,-1,-1,0,339410,321569,66436,11565,262642,167858,32539,33466,32842,44811,15559,48187,1
86,200000,1,1,1,47,-1,2,0,-1,0,3,171313,195506,152539,198176,252749,54496,17931,48145,56170,17183,10851,20845,0
87,10000,1,2,2,42,-1,-1,1,-1,-1,-1,61647,239936,375857,373979,104732,47246,38713,4973,44917,7116,42137,49777,0
88,50000,2,3,2,56,-1,0,1,-1,-1,-1,303605,80086,296424,329662,33403,353749,23756,31111,29682,59171,19441,4957,0
89,200000,1,1,2,30,-1,0,-1,-1,4,1,366598,78086,368313,-2446,125088,-7113,47552,17135,52400,57960,48074,1039,0
90,300000,2,2,2,31,1,-1,-1,0,1,-1,92537,316612,136149,160013,331416,239749,50511,30051,14835,56511,31513,21730,1
91,80000,1,3,2,33,1,-1,5,3,0,-1,338914,386863,361801,51655,114403,140398,1658,33970,32880,46912,5630,8903,1
92,300000,2,3,1,58,-1,2,0,6,-1,0,381176,392427,318309,223158,54993,207237,40638,30621,57455,58669,43674,47355,1
93,300000,1,2,1,31,0,5,0,1,0,0,162107,314027,17709,36166,236133,241616,51099,7624,16413,36597,29077,27598,0
94,50000,1,2,3,45,1,-1,0,0,1,2,353900,137613,56932,336850,38515,252938,34972,15954,7367,21609,18029,38045,1
95,300000,2,2,2,36,-1,4,-1,-1,-1,2,367326,70319,261317,126748,145911,222678,24450,43517,8450,41036,10757,4680,0
96,30000,1,3,2,22,0,5,-1,-1,1,-1,88793,293046,267781,205809,146648,163902,30395,25972,10789,2930,21843,49574,1
97,30000,1,2,2,31,0,0,3,3,0,2,163015,-7405,280175,97941,6987,296829,18052,29830,31481,43666,4510,51485,0
98,150000,2,2,1,36,0,-1,0,0,1,-1,218327,133581,364275,317980,221511,153249,15648,10489,2529,49507,57077,2716,0
99,150000,2,2,2,69,5,0,-1,3,4,0,334599,72832,66040,112988,39068,121288,23856,41094,20430,36440,27009,28227,0
100,20000,2,3,3,31,0,0,0,-1,1,6,368801,73278,393324,360497,375574,137322,4317,44741,16380,2245,26737,53450,0
101,300000,1,3,2,55,5,0,-1,3,0,1,61914,380451,40306,220794,173778,89968,44311,30036,5294,29781,38113,1264,0
102,20000,2,3,2,69,-1,-1,0,1,7,4,68188,3015,351477,73177,134822,326118,18379,23303,30625,24361,55477,13008,0
103,300000,1,3,2,78,3,-1,-1,-1,4,-1,120024,27345,270713,92044,57990,159691,38526,16555,12757,16629,1897,3075,0
104,10000,2,3,1,50,-1,-1,-1,2,1,-1,272568,3030,59094,-887,154137,296858,17566,33583,1684,45780,44003,37880,0
105,200000,2,3,1,23,-1,-1,0,-1,0,0,108486,210997,139804,230828,281831,236515,146,25570,33112,5213,48185,10693,0
106,200000,2,2,1,31,-1,-1,1,1,-1,-1,341652,311641,310451,323918,135400,98271,44933,50478,44331,41070,23589,14325,0
107,200000,2,2,2,53,0,0,-1,-1,0,-1,210259,12770,39143,171871,173316,135652,57261,50798,27306,18074,41762,53725,0
108,150000,2,4,3,54,0,3,-1,-1,0,0,82028,376033,180793,83981,43056,159122,13477,12977,7812,37268,30348,46325,0
109,80000,1,3,2,78,1,-1,4,-1,2,1,159590,385643,285215,-5540,202542,274472,1241,19075,37213,31105,16170,11737,1
110,200000,2,4,2,46,0,0,4,-1,0,0,14720,43131,18091,28418,46777,289853,3812,55223,9587,13359,51156,51854,0
111,30000,2,2,1,46,6,4,3,-1,0,5,133934,80575,21862,13773,285636,236747,10641,44028,4283,20242,2736,880,1
112,200000,2,4,2,46,0,6,4,-1,1,0,387065,149176,84125,64171,192701,364132,50316,20387,27567,31003,49431,37177,0
113,100000,1,2,2,37,-1,-1,-1,-1,-1,0,374780,98120,399563,62088,249541,259410,43420,51543,18711,4948,17540,58529,0
114,80000,2,3,1,32,0,1,0,0,8,-1,183625,308056,210432,349444,33057,127933,57362,19376,57389,16742,44409,6719,0
115,100000,1,2,1,76,1,-1,6,0,0,2,296959,327670,160566,255614,114117,272820,57517,15613,1821,4163,27721,39397,0
116,100000,2,1,1,58,-1,2,0,0,3,0,48064,304416,74576,295906,312060,10791,37640,18431,52484,4418,8107,40463,0
117,10000,2,2,1,71,1,6,-1,0,-1,-1,185168,165285,374968,296062,64659,114437,18301,27532,44742,41626,54973,2984,1
118,20000,2,2,2,69,-1,0,2,0,1,3,344609,353174,244963,102849,167110,170888,9329,19682,1126,23192,26227,22261,0
119,30000,2,1,1,72,0,-1,0,2,-1,1,160162,17471,317341,338755,294979,262067,43314,19163,4715,24853,54078,28477,0
120,20000,1,4,1,49,-1,-1,-1,1,-1,0,128025,347365,114281,320406,368193,249611,28407,47123,28776,44194,7631,7292,0
121,80000,1,4,2,37,-1,-1,0,3,-1,-1,375846,238799,263406,122617,292270,170185,3913,8053,35935,2832,15887,14538,0
122,150000,1,3,1,29,0,-1,0,6,8,6,261919,210136,332758,121904,120628,365405,4252,48448,50417,46101,35658,54248,0
123,150000,2,4,2,69,0,0,-1,-1,0,-1,315700,356317,389281,25203,94695,239254,37108,51285,12735,20700,21564,40738,0
124,80000,2,3,1,36,-1,0,3,-1,-1,0,160914,397361,170294,29168,353957,192173,40180,38811,4862,1670,22084,11077,0
125,300000,2,4,2,70,-1,-1,0,-1,-1,-1,393692,124290,202952,39093,207740,134991,13209,34337,8081,29217,2957,45904,0
126,100000,2,2,3,39,3,1,1,0,-1,0,236791,203673,9161,111709,148906,229245,19830,24720,40348,42233,46264,59072,1
127,10000,2,2,3,29,0,0,0,-1,0,0,-3427,146915,-8324,194620,321747,21431,7200,26637,28452,57034,3677,22006,1
128,200000,1,3,1,73,2,-1,-1,-1,-1,0,327227,72380,277281,92088,91951,68822,55601,48367,58150,40099,1287,23263,0
129,100000,2,2,1,41,0,-1,2,-1,5,3,135703,110893,51040,38803,-8303,11672,7426,40186,48421,53560,18663,18911,0
130,150000,2,3,2,57,-1,-1,2,-1,-1,-1,231481,316816,381160,130619,351096,12882,30458,33855,6394,40958,51287,42012,0
131,100000,1,3,2,45,0,5,-1,-1,-1,0,365355,320387,175369,381609,13140,206128,31272,11389,27020,7188,13086,49825,0
132,100000,2,2,2,75,-1,-1,-1,-1,-1,0,220774,289014,386891,51877,145384,185226,25473,59899,32859,50867,4917,39003,0
133,10000,2,2,2,32,1,0,0,-1,-1,2,286759,186454,366438,173849,23451,271295,36302,29176,19256,50740,41346,32145,1
134,100000,2,3,2,39,0,1,0,0,0,0,363335,326905,45999,104088,352761,213451,11027,6521,28795,9061,54603,11074,0
135,200000,2,2,1,66,6,-1,-1,0,-1,2,123212,215172,242874,181207,246704,170164,58573,15721,25174,14742,27972,13290,0
136,50000,2,2,2,72,0,0,0,0,-1,-1,317540,40245,383215,376522,289079,393100,12800,21146,6322,15622,35708,22301,0
137,150000,1,3,2,55,2,-1,3,0,-1,8,333715,304094,147722,205269,25795,258606,44161,35029,38137,29053,33810,54708,0
138,10000,1,2,2,67,-1,1,2,-1,1,2,151931,265061,349254,384310,183176,199555,17644,51802,21691,14353,9491,42316,0
139,50000,2,2,1,57,-1,-1,1,4,-1,0,25439,128527,334179,357000,377231,60280,4313,29340,18244,40761,57876,37265,0
140,80000,1,3,1,76,-1,0,3,-1,0,1,289083,274717,302287,370338,15741,335072,368,36984,24544,23807,6070,31806,0
141,500000,2,2,1,77,3,0,-1,0,5,-1,65854,183953,315987,316351,170481,137353,35223,30390,27902,14472,53509,59931,1
142,30000,1,4,1,35,-1,-1,0,1,-1,0,20980,159991,349178,55826,61254,351903,58044,49561,795,35991,21648,48895,0
143,30000,2,2,1,41,5,-1,-1,5,1,1,286883,121523,242145,197817,130053,165991,40139,35547,7311,27047,54573,54396,1
144,80000,2,4,1,76,1,0,2,1,0,0,262068,37493,362821,94361,346041,236310,40103,15984,11444,18763,26882,26666,1
145,500000,2,3,2,37,0,-1,-1,0,-1,1,274088,237005,37382,103284,30448,312807,13214,90,46240,8680,35050,37586,0
146,300000,1,3,2,59,1,0,3,0,-1,3,244937,162030,6802,321029,349271,111042,36284,22021,13229,58357,31702,48938,0
147,10000,2,3,3,79,0,2,6,-1,-1,0,11194,308202,42007,1031,180105,51066,2173,5842,31379,9454,18543,14208,1
148,30000,2,3,2,64,0,-1,0,0,0,0,47498,96608,230201,305402,38826,87553,1586,37147,41712,51563,16318,6827,1
149,300000,1,2,2,59,3,0,1,0,-1,-1,188819,17016,287761,210214,330102,89288,10159,47547,41000,31634,44878,4866,1
150,10000,2,3,2,31,-1,-1,-1,0,0,-1,192330,304153,342018,156764,126560,157066,33503,47601,47313,7669,23323,48862,0
151,300000,1,2,2,33,-1,1,-1,-1,-1,2,181283,95509,62810,269020,202761,274201,3913,25382,44978,27339,20644,35644,0
152,30000,2,2,1,33,-1,2,2,0,0,2,16764,333843,33410,389475,102986,149760,51264,30419,343,58556,55652,57748,1
153,500000,1,1,1,25,1,-1,3,0,-1,0,128587,197586,248628,13468,58770,44238,54398,4361,5731,30079,39637,59868,0
154,30000,2,3,2,79,0,1,0,0,-1,-1,47507,310291,324784,272755,104777,94956,22902,29521,42539,33252,45140,10136,0
155,80000,2,2,2,70,2,1,4,0,0,1,115225,36401,22004,252664,60685,196675,41449,29899,48983,17198,36221,25253,1
156,150000,2,3,1,67,-1,0,-1,-1,6,-1,353359,324991,115280,272911,151304,223407,11072,39349,954,4128,23270,35008,0
157,20000,2,2,2,66,1,1,3,0,1,1,242963,322965,297585,235274,147557,340556,26628,45343,47564,55498,86,44867,1
158,100000,2,1,2,73,7,2,6,0,1,-1,318741,182464,384473,360754,347066,192499,49168,4978,58639,10876,58352,50615,1
159,100000,2,2,1,62,5,0,1,3,1,-1,44985,71219,212266,96327,100217,54631,36829,111,30446,28042,1624,55771,1
160,200000,1,3,1,36,2,7,3,-1,-1,0,42594,349113,115489,12354,127879,37884,27905,59738,47043,33667,40767,45553,1
161,500000,2,2,3,34,0,-1,0,4,2,0,94689,27754,225464,350691,373421,315146,3252,15502,3650,44944,38444,59301,0
162,150000,1,4,1,50,-1,0,1,-1,-1,3,88049,102981,359771,252253,343391,240710,15230,59521,24597,53593,47431,3490,0
163,80000,2,1,1,32,1,-1,-1,1,0,-1,370381,94484,245304,362195,233094,164141,2088,46471,34449,17489,40212,19860,1
164,80000,2,2,2,52,-1,-1,0,1,-1,-1,297801,-5268,177791,184066,391569,198099,13085,5464,39382,12574,5181,49385,0
165,80000,2,2,3,64,2,4,1,0,0,0,308425,326530,225166,295269,325281,9322,35980,3516,46318,34445,40867,5760,1
166,300000,1,2,1,36,-1,3,-1,0,-1,2,366351,242115,221715,335717,7083,363215,50815,42578,35796,14674,22018,32058,0
167,50000,1,1,1,33,3,0,-1,-1,0,-1,372245,301386,62876,50841,96914,380515,47240,28115,16237,27210,54005,14625,1
168,20000,2,1,2,29,-1,-1,-1,-1,1,-1,355587,131128,126332,265081,109548,242340,44005,1415,59456,56144,35546,40430,0
169,50000,2,3,2,53,0,0,0,-1,-1,-1,25789,244720,223179,393679,244386,139411,46064,41030,8250,1162,44072,38885,0
170,10000,1,3,2,31,-1,1,1,2,0,0,322237,25790,223605,255915,183472,97846,59446,52164,6923,52530,32249,7774,1
171,20000,1,2,3,75,3,0,-1,0,-1,-1,293210,369469,35395,63242,5481,379744,21946,42646,22995,16847,49425,4259,0
172,10000,2,4,2,39,2,0,0,-1,0,2,225666,185090,132991,94819,109848,12795,46526,55555,51514,32442,23527,33159,1
173,200000,2,3,1,67,0,-1,-1,3,-1,0,303611,16694,17867,375178,378133,280718,26244,40654,20770,56834,10562,6364,0
174,200000,1,2,2,45,-1,-1,-1,0,-1,-1,233915,221593,288222,66026,294618,198711,16156,30301,212,50867,31618,53039,0
175,150000,1,2,2,71,1,-1,4,1,6,-1,64269,114996,124078,223086,288058,94520,13772,42564,39772,15145,1015,46247,0
176,80000,2,2,2,22,2,-1,-1,2,4,-1,387348,311451,74548,287434,3256,124884,45224,48736,18645,52319,13461,45121,1
177,200000,1,3,2,34,3,0,2,-1,0,5,226884,91277,112850,223213,18598,72156,33315,33871,5072,11261,10398,3098,1
178,20000,1,2,2,49,0,2,0,5,2,0,295819,310664,228551,103059,29702,297692,42972,6323,24039,12575,8840,26546,0
179,500000,1,2,2,52,-1,-1,3,-1,0,-1,85903,380696,178597,91581,162895,219012,8725,12935,59521,52746,49584,2514,0
180,100000,2,2,2,52,6,5,1,2,2,2,24523,328310,108476,2336,367055,132237,37306,17307,18435,18930,51224,9178,1
181,500000,1,2,1,61,0,0,-1,6,2,1,161796,203235,343570,229072,161165,369197,32834,38252,57990,47521,33031,23993,0
182,20000,1,2,2,49,-1,-1,-1,-1,-1,-1,78586,81027,14632,90247,348816,369440,31049,32654,7188,59058,11881,43832,0
183,80000,1,3,1,66,5,1,4,0,0,2,69131,121276,74200,332245,258821,184049,13336,32383,59426,4707,9475,2760,1
184,150000,2,4,1,55,4,3,-1,1,-1,-1,201055,301162,192831,220530,155473,377340,58606,18933,23454,40498,9065,51370,1
185,80000,2,2,2,74,-1,1,0,-1,-1,0,90289,31659,76810,-2503,98111,107666,12049,36017,43904,21650,49259,53402,0
186,80000,1,2,3,26,-1,0,-1,2,-1,0,47776,273222,363108,2933,52560,167475,9217,39854,843,31246,4720,53256,0
187,20000,2,1,1,61,-1,0,-1,6,0,-1,232199,188683,274339,198187,77230,80568,23800,30060,25713,52439,52654,59142,0
188,50000,2,2,2,73,0,0,0,-1,0,7,268218,45401,287420,308116,274482,386153,29355,45868,52202,19814,17030,55359,0
189,30000,2,3,1,24,-1,-1,0,2,0,0,215317,245824,184661,285144,183907,105881,47668,9393,14025,20608,37057,1152,0
190,50000,2,4,1,34,6,0,0,-1,-1,-1,77662,130259,261476,136233,284737,230853,47009,9782,38487,5145,22363,15809,0
191,150000,1,3,2,35,-1,3,-1,-1,-1,-1,396697,249569,18012,239017,104329,316849,27156,45859,29795,5971,52692,1789,0
192,150000,2,2,1,46,5,-1,0,-1,0,3,70119,271521,4663,333001,5556,-7941,16738,54145,2725,38122,53777,36439,1
193,150000,2,3,2,51,1,-1,6,1,2,6,57692,354779,398010,188068,144952,222377,8901,17174,13129,9093,12215,40496,0
194,50000,2,3,2,71,7,-1,-1,6,0,1,159314,212381,123869,255279,357209,103409,33339,21641,49035,4163,24017,1242,1
195,500000,2,2,2,43,-1,1,1,0,-1,-1,36759,63635,366973,120141,64674,346483,55979,57295,10065,31399,59491,23775,0
196,10000,2,4,2,63,-1,5,-1,0,-1,6,355417,384179,175949,25421,69690,266695,12518,51163,21423,30254,31163,29705,0
197,50000,2,3,2,70,5,-1,4,0,0,1,236789,18021,115617,260681,390927,164423,32597,2446,12133,1383,41348,49134,1
198,20000,2,3,2,63,-1,-1,-1,1,8,-1,284138,246282,188439,81545,263923,-9495,23774,23976,59033,30169,54693,34380,0
199,50000,1,2,1,75,-1,4,-1,1,-1,-1,328589,187024,273474,375742,298737,177225,55328,4738,49749,28542,26069,55843,0
200,500000,1,2,2,68,-1,3,-1,0,-1,0,42814,14183,374077,276293,242263,-9220,25164,30968,24206,20172,24529,17942,0
201,50000,1,3,2,42,0,0,4,1,-1,-1,250569,376968,113112,259148,93399,336576,13055,4649,49598,34520,52673,16135,0
202,500000,2,2,2,78,2,0,-1,0,0,-1,381443,357774,220397,79934,35237,153482,51156,39779,10073,40476,36607,17273,0
203,80000,1,4,1,76,1,0,-1,0,-1,1,143656,329212,36728,363815,197873,24784,34732,114,20014,49251,48010,32353,0
204,150000,1,2,2,23,-1,-1,5,0,0,0,187935,245588,109457,266459,182791,173468,53846,10086,24146,14109,49407,4733,0
205,80000,1,2,2,77,0,1,-1,2,2,0,188325,149158,79787,399905,88535,366690,181,42257,11052,43570,38948,11041,0
206,30000,2,3,1,79,2,1,2,-1,-1,-1,290147,160396,48366,30062,188769,340401,12816,12984,26048,47659,50134,57933,1
207,200000,2,3,2,71,-1,4,-1,0,-1,0,324702,358899,127525,15516,301188,36804,39524,32360,20434,12175,56303,51132,0
208,500000,1,2,2,76,-1,0,-1,-1,0,-1,106316,265396,65845,271129,88039,312736,608,18782,1015,58285,14479,48185,0
